Temparature,Humidity,Soil Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26,52,38,Sandy,Maize,37,0,0,Urea
29,52,45,Loamy,Sugarcane,12,0,36,DAP
34,65,62,Black,Cotton,7,9,30,14-35-14
32,62,34,Red,Tobacco,22,0,20,28-28
28,54,46,Clayey,Paddy,35,0,0,Urea
26,52,35,Sandy,Barley,12,10,13,17-17-17
25,50,64,Red,Cotton,9,0,10,20-20
33,64,50,Loamy,Wheat,41,0,0,Urea
30,60,42,Sandy,Millets,21,0,18,28-28
29,58,33,Black,Oil seeds,9,7,30,14-35-14
27,54,28,Clayey,Pulses,13,0,40,DAP
31,62,48,Sandy,Maize,14,15,12,17-17-17
25,50,65,Loamy,Cotton,36,0,0,Urea
32,62,41,Clayey,Paddy,24,0,22,28-28
26,52,31,Red,Ground Nuts,14,0,41,DAP
31,62,49,Black,Sugarcane,10,13,14,17-17-17
33,64,34,Clayey,Pulses,38,0,0,Urea
25,50,39,Sandy,Barley,21,0,19,28-28
28,54,65,Black,Cotton,39,0,0,Urea
29,58,52,Loamy,Wheat,13,0,36,DAP
30,60,44,Sandy,Millets,10,0,9,20-20
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17
35,68,33,Red,Tobacco,11,0,37,DAP
28,54,37,Black,Millets,36,0,0,Urea
33,64,39,Clayey,Paddy,13,0,10,20-20
26,52,44,Sandy,Maize,23,0,20,28-28
30,60,63,Red,Cotton,9,9,29,14-35-14
32,62,30,Loamy,Sugarcane,38,0,0,Urea
37,70,32,Black,Oil seeds,12,0,39,DAP
26,52,36,Clayey,Pulses,14,0,13,20-20
29,58,40,Red,Ground Nuts,24,0,23,28-28
30,60,27,Loamy,Sugarcane,12,0,40,DAP
34,65,38,Clayey,Paddy,39,0,0,Urea
36,68,38,Sandy,Barley,7,9,30,14-35-14
26,52,48,Loamy,Wheat,23,0,19,28-28
28,54,35,Black,Millets,41,0,0,Urea
30,60,61,Loamy,Cotton,8,10,31,14-35-14
37,70,37,Clayey,Paddy,12,0,41,DAP
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
29,58,34,Sandy,Millets,15,0,37,DAP
27,54,30,Clayey,Pulses,13,0,13,20-20
30,60,58,Loamy,Sugarcane,10,7,32,14-35-14
32,62,34,Red,Tobacco,22,0,24,28-28
34,65,60,Black,Sugarcane,35,0,0,Urea
35,67,42,Sandy,Barley,10,0,35,DAP
38,70,48,Loamy,Wheat,8,8,28,14-35-14
26,52,32,Black,Oil seeds,12,0,8,20-20
29,58,43,Clayey,Paddy,24,0,18,28-28
30,60,29,Red,Ground Nuts,41,0,0,Urea
33,64,51,Sandy,Maize,5,9,29,14-35-14
34,65,31,Red,Tobacco,23,0,21,28-28
36,68,33,Black,Oil seeds,13,0,14,20-20
28,54,38,Clayey,Pulses,40,0,0,Urea
30,60,47,Sandy,Barley,12,0,42,DAP
31,62,63,Red,Cotton,11,12,15,17-17-17
27,53,43,Black,Millets,23,0,24,28-28
34,65,54,Loamy,Wheat,38,0,0,Urea
29,58,37,Sandy,Millets,8,0,15,20-20
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17
32,62,34,Red,Ground Nuts,15,0,37,DAP
28,54,41,Clayey,Paddy,36,0,0,Urea
30,60,49,Loamy,Wheat,13,0,9,20-20
34,65,64,Black,Cotton,24,0,20,28-28
28,54,47,Sandy,Barley,5,18,15,10-26-26
27,53,35,Black,Oil seeds,37,0,0,Urea
36,68,62,Red,Cotton,15,0,40,DAP
34,65,57,Black,Sugarcane,9,0,13,20-20
29,58,55,Loamy,Sugarcane,8,8,33,14-35-14
25,50,40,Clayey,Pulses,6,19,16,10-26-26
30,60,38,Sandy,Millets,10,0,14,20-20
26,52,39,Clayey,Pulses,21,0,23,28-28
31,62,32,Red,Tobacco,39,0,0,Urea
34,65,48,Loamy,Wheat,23,0,19,28-28
27,53,34,Black,Oil seeds,42,0,0,Urea
33,64,31,Red,Ground Nuts,13,0,39,DAP
29,58,42,Clayey,Paddy,9,10,22,14-35-14
30,60,47,Sandy,Maize,22,0,21,28-28
27,53,59,Loamy,Sugarcane,10,0,15,20-20
26,52,36,Clayey,Pulses,7,16,20,10-26-26
34,65,63,Red,Cotton,14,0,38,DAP
28,54,43,Clayey,Paddy,10,8,29,14-35-14
30,60,40,Sandy,Millets,41,0,0,Urea
29,58,65,Black,Cotton,14,0,35,DAP
26,52,59,Loamy,Sugarcane,11,0,9,20-20
31,62,44,Sandy,Barley,21,0,28,28-28
35,67,28,Clayey,Pulses,8,7,31,14-35-14
29,58,30,Red,Tobacco,13,17,16,10-26-26
27,53,30,Black,Millets,35,0,0,Urea
36,68,50,Loamy,Wheat,12,18,19,10-26-26
29,58,61,Loamy,Cotton,11,0,38,DAP
30,60,26,Black,Oil seeds,8,9,30,14-35-14
34,65,45,Clayey,Paddy,6,19,21,10-26-26
36,68,41,Red,Ground Nuts,41,0,0,Urea
28,54,25,Sandy,Maize,9,10,30,14-35-14
25,50,32,Clayey,Pulses,24,0,19,28-28
30,60,27,Red,Tobacco,4,17,17,10-26-26
38,72,51,Loamy,Wheat,39,0,0,Urea
36,60,43,Sandy,Millets,15,0,41,DAP
29,58,57,Black,Sugarcane,12,0,10,20-20
27,56,41,Sandy,Maize,20,0,15,20-20
31,58,49,Loamy,Sugarcane,10,14,20,10-26-26
29,63,54,Black,Cotton,12,14,15,14-35-14
33,66,36,Red,Tobacco,20,0,25,20-20
28,53,47,Clayey,Paddy,16,0,20,14-35-14
26,51,36,Sandy,Barley,15,12,10,17-17-17
24,49,61,Red,Ground Nuts,10,8,12,10-26-26
32,60,45,Loamy,Wheat,18,0,20,17-17-17
30,61,43,Sandy,Millets,10,0,8,20-20
27,55,32,Black,Oil seeds,12,0,10,20-20
35,64,57,Clayey,Pulses,20,0,15,14-35-14
26,50,39,Sandy,Barley,14,14,10,17-17-17
28,54,42,Loamy,Wheat,16,0,12,17-17-17
33,63,48,Red,Ground Nuts,18,0,20,10-26-26
30,59,37,Black,Paddy,12,0,15,14-35-14
25,49,35,Clayey,Pulses,10,10,10,20-20
31,62,54,Sandy,Cotton,14,14,15,14-35-14
29,57,53,Loamy,Wheat,12,12,10,17-17-17
27,53,34,Black,Pulses,12,0,12,20-20
35,65,61,Clayey,Cotton,20,0,20,14-35-14
28,55,38,Sandy,Maize,18,0,16,20-20
32,59,46,Loamy,Sugarcane,12,15,22,14-35-14
30,62,53,Black,Cotton,14,12,14,14-35-14
34,66,35,Red,Tobacco,22,0,26,28-28
29,53,44,Clayey,Paddy,16,0,18,17-17-17
27,50,33,Sandy,Barley,14,14,12,17-17-17
25,48,62,Red,Ground Nuts,12,10,14,10-26-26
33,61,47,Loamy,Wheat,16,0,18,17-17-17
31,59,41,Sandy,Millets,10,0,10,20-20
28,54,31,Black,Oil seeds,12,0,12,20-20
35,65,58,Clayey,Pulses,20,0,16,14-35-14
26,49,37,Sandy,Barley,12,14,10,17-17-17
29,53,43,Loamy,Wheat,14,0,12,17-17-17
32,61,50,Red,Ground Nuts,18,0,18,10-26-26
30,57,39,Black,Paddy,12,0,14,14-35-14
27,50,36,Clayey,Pulses,12,12,12,20-20
34,64,63,Sandy,Cotton,16,14,20,14-35-14
31,58,52,Loamy,Wheat,14,12,12,17-17-17
28,52,32,Black,Pulses,14,0,14,20-20
36,66,59,Clayey,Cotton,18,0,20,14-35-14
29,57,46,Sandy,Maize,18,0,15,20-20
31,60,52,Loamy,Sugarcane,10,12,18,14-35-14
32,64,61,Black,Cotton,15,10,20,14-35-14
28,55,39,Red,Tobacco,20,0,18,20-20
27,52,48,Clayey,Paddy,16,0,15,14-35-14
26,50,34,Sandy,Barley,14,12,12,17-17-17
25,48,57,Red,Ground Nuts,12,10,14,10-26-26
31,62,44,Loamy,Wheat,16,0,18,17-17-17
30,59,41,Sandy,Millets,12,0,10,20-20
28,54,36,Black,Oil seeds,10,0,8,20-20
34,65,59,Clayey,Pulses,20,0,20,14-35-14
27,51,38,Sandy,Barley,14,14,10,17-17-17
29,56,40,Loamy,Wheat,15,0,12,17-17-17
33,64,51,Red,Ground Nuts,18,0,20,10-26-26
30,58,36,Black,Paddy,14,0,15,14-35-14
26,50,33,Clayey,Pulses,10,12,10,20-20
32,63,56,Sandy,Cotton,15,14,18,14-35-14
29,57,51,Loamy,Wheat,12,12,10,17-17-17
28,53,35,Black,Pulses,12,0,12,20-20
34,66,63,Clayey,Cotton,20,0,20,14-35-14
26,52,38,Sandy,Maize,37,0,0,Urea
29,52,45,Loamy,Sugarcane,12,0,36,DAP
34,65,62,Black,Cotton,7,9,30,14-35-14
32,62,34,Red,Tobacco,22,0,20,28-28
28,54,46,Clayey,Paddy,35,0,0,Urea
26,52,35,Sandy,Barley,12,10,13,17-17-17
25,50,64,Red,Cotton,9,0,10,20-20
33,64,50,Loamy,Wheat,41,0,0,Urea
30,60,42,Sandy,Millets,21,0,18,28-28
29,58,33,Black,Oil seeds,9,7,30,14-35-14
27,54,28,Clayey,Pulses,13,0,40,DAP
31,62,48,Sandy,Maize,14,15,12,17-17-17
25,50,65,Loamy,Cotton,36,0,0,Urea
32,62,41,Clayey,Paddy,24,0,22,28-28
26,52,31,Red,Ground Nuts,14,0,41,DAP
31,62,49,Black,Sugarcane,10,13,14,17-17-17
33,64,34,Clayey,Pulses,38,0,0,Urea
25,50,39,Sandy,Barley,21,0,19,28-28
28,54,65,Black,Cotton,39,0,0,Urea
29,58,52,Loamy,Wheat,13,0,36,DAP
30,60,44,Sandy,Millets,10,0,9,20-20
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17
35,68,33,Red,Tobacco,11,0,37,DAP
28,54,37,Black,Millets,36,0,0,Urea
33,64,39,Clayey,Paddy,13,0,10,20-20
26,52,44,Sandy,Maize,23,0,20,28-28
30,60,59,Loamy,Wheat,9,9,30,14-35-14
29,58,51,Black,Pulses,10,8,32,14-35-14
32,62,47,Clayey,Sugarcane,38,0,0,Urea
27,54,40,Sandy,Millets,13,0,36,DAP
25,50,63,Red,Cotton,9,0,10,20-20
31,62,42,Sandy,Paddy,19,0,18,28-28
34,65,35,Loamy,Pulses,15,0,13,17-17-17
28,54,64,Black,Sugarcane,37,0,0,Urea
26,52,36,Clayey,Ground Nuts,14,0,41,DAP
33,64,51,Sandy,Maize,21,20,20,28-28
29,58,40,Loamy,Wheat,13,0,36,DAP
30,60,46,Sandy,Millets,7,7,40,14-35-14
25,50,32,Black,Oil seeds,11,10,33,14-35-14
32,62,63,Clayey,Cotton,38,0,0,Urea
27,54,33,Red,Paddy,12,0,14,20-20
34,65,38,Clayey,Pulses,13,12,10,17-17-17
26,52,31,Sandy,Barley,25,0,23,28-28
29,58,66,Black,Cotton,38,0,0,Urea
30,60,55,Loamy,Wheat,13,0,38,DAP
33,64,32,Red,Ground Nuts,9,0,34,14-35-14
28,54,49,Clayey,Sugarcane,17,15,10,17-17-17
25,50,38,Sandy,Maize,12,0,18,28-28
26,52,58,Loamy,Wheat,39,0,0,Urea
31,62,44,Sandy,Paddy,12,0,40,DAP
32,62,37,Black,Pulses,17,0,15,20-20
33,64,65,Clayey,Sugarcane,40,0,0,Urea
28,54,31,Sandy,Millets,14,0,38,DAP
30,60,61,Loamy,Cotton,13,15,18,14-35-14
29,58,43,Red,Ground Nuts,12,0,16,20-20
26,52,49,Black,Maize,17,18,10,17-17-17
25,50,36,Clayey,Paddy,9,0,42,DAP
34,65,39,Sandy,Pulses,36,0,0,Urea
27,54,34,Loamy,Sugarcane,9,10,12,28-28
32,62,48,Sandy,Wheat,12,0,36,DAP
31,62,64,Black,Cotton,40,0,0,Urea
33,64,52,Red,Tobacco,11,0,37,DAP
28,54,42,Clayey,Millets,18,0,17,17-17-17
26,52,35,Sandy,Barley,15,14,12,28-28
30,60,67,Loamy,Sugarcane,40,0,0,Urea
29,58,45,Black,Tobacco,11,0,39,DAP
25,50,33,Clayey,Pulses,9,7,30,14-35-14
31,62,54,Sandy,Wheat,16,0,14,20-20
34,65,37,Loamy,Paddy,12,0,38,DAP
27,54,60,Red,Cotton,40,0,0,Urea
32,62,31,Clayey,Ground Nuts,14,0,40,DAP
26,52,42,Sandy,Maize,9,20,22,28-28
30,60,39,Black,Pulses,13,10,12,17-17-17
28,54,33,Loamy,Millets,8,0,36,DAP
25,50,58,Red,Sugarcane,37,0,0,Urea
29,58,48,Clayey,Tobacco,13,0,30,14-35-14
31,62,50,Sandy,Wheat,13,0,38,DAP
26,52,38,Black,Paddy,12,0,18,20-20
30,60,65,Loamy,Cotton,37,0,0,Urea
34,65,36,Sandy,Pulses,10,10,10,17-17-17
27,54,41,Clayey,Sugarcane,17,18,10,17-17-17
32,62,57,Red,Ground Nuts,40,0,0,Urea
25,50,30,Sandy,Millets,14,0,38,DAP
29,58,61,Loamy,Cotton,13,15,18,14-35-14
28,54,50,Black,Tobacco,10,0,33,14-35-14
31,62,36,Clayey,Paddy,12,0,40,DAP
26,52,46,Sandy,Maize,23,0,20,28-28
33,64,67,Red,Sugarcane,39,0,0,Urea
27,54,37,Loamy,Millets,17,0,16,17-17-17
30,60,34,Black,Pulses,9,8,32,14-35-14
25,50,42,Clayey,Barley,20,0,18,28-28
34,65,48,Sandy,Wheat,12,0,36,DAP
29,58,39,Sandy,Paddy,14,0,42,DAP
31,62,38,Black,Tobacco,12,0,34,14-35-14
26,52,33,Clayey,Pulses,11,9,30,14-35-14
28,54,58,Loamy,Cotton,40,0,0,Urea
30,60,49,Red,Ground Nuts,13,0,35,14-35-14
27,54,44,Sandy,Sugarcane,9,10,12,28-28
32,62,66,Clayey,Sugarcane,38,0,0,Urea
25,50,37,Sandy,Maize,14,15,12,17-17-17
33,64,61,Loamy,Wheat,12,0,38,DAP
29,58,36,Black,Pulses,15,0,13,17-17-17
26,52,66,Red,Cotton,40,0,0,Urea
30,60,30,Clayey,Ground Nuts,12,0,38,DAP
28,54,45,Sandy,Paddy,12,0,20,20-20
31,62,63,Sandy,Sugarcane,40,0,0,Urea
27,54,40,Loamy,Millets,14,0,36,DAP
25,50,31,Black,Tobacco,11,0,37,DAP
34,65,42,Clayey,Wheat,12,0,40,DAP
32,62,35,Red,Pulses,9,7,30,14-35-14
26,52,52,Sandy,Maize,21,20,20,28-28
29,58,64,Loamy,Cotton,37,0,0,Urea
30,60,43,Black,Tobacco,11,0,39,DAP
27,54,32,Clayey,Pulses,10,8,32,14-35-14
25,50,53,Red,Sugarcane,12,14,12,17-17-17
28,54,34,Sandy,Millets,13,0,36,DAP
31,62,50,Loamy,Wheat,13,0,38,DAP
26,52,38,Black,Paddy,12,0,18,20-20
34,65,57,Clayey,Cotton,39,0,0,Urea
29,58,30,Sandy,Ground Nuts,14,0,40,DAP
30,60,59,Loamy,Sugarcane,40,0,0,Urea
27,54,42,Red,Millets,18,0,17,17-17-17
32,62,39,Black,Pulses,13,10,12,17-17-17
25,50,47,Clayey,Barley,20,0,18,28-28
33,64,48,Sandy,Wheat,13,0,36,DAP
26,52,46,Sandy,Paddy,12,0,40,DAP
28,54,37,Black,Tobacco,12,0,34,14-35-14
31,62,32,Clayey,Pulses,11,9,30,14-35-14
30,60,66,Loamy,Cotton,40,0,0,Urea
27,54,39,Red,Ground Nuts,12,0,38,DAP
29,58,44,Sandy,Sugarcane,9,10,12,28-28
25,50,36,Loamy,Millets,14,0,36,DAP
26,52,31,Black,Tobacco,11,0,37,DAP
28,54,50,Clayey,Pulses,17,0,15,20-20
27,54,61,Sandy,Wheat,16,0,14,20-20
31,62,38,Red,Paddy,12,0,18,20-20
30,60,45,Sandy,Maize,9,20,22,28-28
29,58,36,Black,Pulses,15,0,13,17-17-17
34,65,63,Clayey,Sugarcane,40,0,0,Urea
26,52,31,Sandy,Barley,25,0,23,28-28
25,50,48,Loamy,Wheat,12,0,36,DAP
32,62,40,Red,Paddy,12,0,40,DAP
27,54,64,Black,Sugarcane,37,0,0,Urea
30,60,43,Clayey,Millets,17,0,16,17-17-17
33,64,52,Sandy,Ground Nuts,11,0,35,14-35-14
28,54,57,Loamy,Cotton,40,0,0,Urea
31,62,30,Black,Ground Nuts,13,0,35,14-35-14
26,52,34,Clayey,Millets,8,0,36,DAP
29,58,39,Sandy,Paddy,14,0,42,DAP
25,50,33,Loamy,Pulses,9,7,30,14-35-14
34,65,58,Red,Wheat,12,0,38,DAP
27,54,41,Black,Paddy,12,0,20,20-20
30,60,49,Clayey,Sugarcane,17,18,10,17-17-17
28,54,35,Sandy,Millets,13,0,36,DAP
32,62,42,Loamy,Wheat,9,9,30,14-35-14
29,58,51,Black,Pulses,10,8,32,14-35-14
32,62,47,Clayey,Sugarcane,38,0,0,Urea
27,54,40,Sandy,Millets,13,0,36,DAP
25,50,63,Red,Cotton,9,0,10,20-20
31,62,42,Sandy,Paddy,19,0,18,28-28
34,65,35,Loamy,Pulses,15,0,13,17-17-17
28,54,64,Black,Sugarcane,37,0,0,Urea
26,52,36,Clayey,Ground Nuts,14,0,41,DAP
33,64,51,Sandy,Maize,21,20,20,28-28
29,58,40,Loamy,Wheat,13,0,36,DAP
30,60,46,Sandy,Millets,7,7,40,14-35-14
25,50,32,Black,Oil seeds,11,10,33,14-35-14
32,62,63,Clayey,Cotton,38,0,0,Urea
27,54,33,Red,Paddy,12,0,18,20-20
31,62,52,Sandy,Sugarcane,40,0,0,Urea
26,52,37,Loamy,Pulses,10,8,32,14-35-14
28,54,35,Black,Millets,14,0,36,DAP
30,60,57,Clayey,Wheat,12,0,38,DAP
29,58,39,Sandy,Paddy,12,0,40,DAP
25,50,36,Loamy,Pulses,10,8,32,14-35-14
27,54,34,Red,Millets,8,0,36,DAP
33,64,58,Black,Wheat,12,0,38,DAP
26,52,42,Clayey,Paddy,14,0,42,DAP
31,62,60,Sandy,Sugarcane,40,0,0,Urea
30,60,39,Loamy,Pulses,13,10,12,17-17-17
28,54,33,Black,Millets,8,0,36,DAP
25,50,42,Clayey,Paddy,12,0,40,DAP
34,65,48,Sandy,Wheat,12,0,36,DAP
27,54,36,Loamy,Pulses,9,7,30,14-35-14
32,62,57,Black,Cotton,40,0,0,Urea
26,52,35,Clayey,Millets,18,0,17,17-17-17
29,58,46,Sandy,Paddy,12,0,18,20-20
30,60,67,Red,Sugarcane,39,0,0,Urea
25,50,33,Loamy,Pulses,9,7,30,14-35-14
28,54,50,Black,Millets,17,0,16,17-17-17
31,62,36,Clayey,Wheat,12,0,40,DAP
26,52,46,Sandy,Maize,23,0,20,28-28
33,64,67,Red,Sugarcane,39,0,0,Urea
27,54,37,Loamy,Millets,17,0,16,17-17-17
30,60,34,Black,Pulses,9,8,32,14-35-14
25,50,42,Clayey,Barley,20,0,18,28-28
34,65,48,Sandy,Wheat,12,0,36,DAP
29,58,39,Sandy,Paddy,14,0,42,DAP
31,62,38,Black,Tobacco,12,0,34,14-35-14
26,52,33,Clayey,Pulses,11,9,30,14-35-14
28,54,58,Loamy,Cotton,40,0,0,Urea
30,60,49,Red,Ground Nuts,13,0,35,14-35-14
27,54,44,Sandy,Sugarcane,9,10,12,28-28
